[APW19980903_1073.htm]
***************** Gold Standard: ***********************
 => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
	FN => communism:[762,771]; score:1.000000; title:communism; score:1.000000
 => Budapest:[110,118]; score:1.000000; title:Budapest; score:1.000000
	FN => illegal art traffic:[40,59]; score:1.000000; title:Art theft; score:1.000000
	FN => Hungarian:[647,656]; score:1.000000; title:Hungarian people; score:1.000000
	FN => network:[1436,1443]; score:1.000000; title:Entrepreneurial network; score:1.000000
	FN => data base:[1417,1426]; score:1.000000; title:Database; score:1.000000
 => Interpol:[260,268]; score:1.000000; title:Interpol; score:1.000000
	FN => art dealers:[1465,1476]; score:1.000000; title:Art dealer; score:1.000000
	FN => International Police:[277,297]; score:1.000000; title:International Police; score:1.000000
	FN => auctioneers:[1481,1492]; score:1.000000; title:Auction; score:1.000000
 => France:[559,565]; score:1.000000; title:France; score:1.000000
	FN => forints:[889,896]; score:1.000000; title:Hungarian forint; score:1.000000

************************ System Result: ***************************
	FP => Hungarian:[647,656]; score:1.000000; title:Hungary; score:0.625000
 => Interpol:[260,268]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[1221,1229]; score:1.000000; title:Interpol; score:1.000000
 => East European:[408,421]; score:1.000000; title:Eastern_Europe; score:1.000000
	FP => Hungary:[820,827]; score:1.000000; title:Hungary; score:0.858209
	FP => Hungary:[1234,1241]; score:1.000000; title:Hungary; score:0.858209
	FP => French:[1195,1201]; score:1.000000; title:Wild_Boar; score:0.000016
 => Budapest:[110,118]; score:1.000000; title:Budapest; score:0.984848
 => France:[559,565]; score:1.000000; title:France; score:1.000000
P/R/F:0.44444445/0.2857143/0.3478261; tpCount:4.0; fpCount:5.0; fnCount:10.0
[APW19990827_0184.htm]
***************** Gold Standard: ***********************
	FN => concourse:[831,840]; score:1.000000; title:Concourse; score:1.000000
	FN => terminal:[89,97]; score:1.000000; title:Airport terminal; score:1.000000
 => United Airlines:[58,73]; score:1.000000; title:United Airlines; score:1.000000
	FN => security:[170,178]; score:1.000000; title:Airport security; score:1.000000
	FN => baggage claim:[867,880]; score:1.000000; title:baggage claim; score:1.000000
 => O'Hare International Airport:[227,255]; score:1.000000; title:O'Hare International Airport; score:1.000000

************************ System Result: ***************************
	FP => Chicago:[748,755]; score:1.000000; title:Chicago; score:1.000000
	FP => United:[964,970]; score:1.000000; title:United_Airlines; score:0.143046
	FP => AP:[50,52]; score:1.000000; title:Associated_Press; score:0.380451
 => United Airlines:[58,73]; score:1.000000; title:United_Airlines; score:1.000000
	FP => United:[265,271]; score:1.000000; title:United_Airlines; score:0.143046
 => O'Hare International Airport:[227,255]; score:1.000000; title:O'Hare_International_Airport; score:1.000000
	FP => United:[1159,1165]; score:1.000000; title:United_Airlines; score:0.143046
P/R/F:0.2857143/0.33333334/0.30769232; tpCount:2.0; fpCount:5.0; fnCount:4.0
[APW19981130_0743.htm]
***************** Gold Standard: ***********************
 => European Union:[1232,1246]; score:1.000000; title:European Union; score:1.000000
 => Spain:[82,87]; score:1.000000; title:Spain; score:1.000000
	FN => volume:[538,544]; score:1.000000; title:Volume; score:1.000000
	FN => Iberian peninsula:[160,177]; score:1.000000; title:Iberian peninsula; score:1.000000
	FN => Portugal:[66,74]; score:1.000000; title:Portugal; score:1.000000
 => Antonio Guterres:[348,364]; score:1.000000; title:António Guterres; score:1.000000
	FN => hydroelectric:[933,946]; score:1.000000; title:Hydroelectricity; score:1.000000
 => Lisbon:[454,460]; score:1.000000; title:Lisbon; score:1.000000
	FN => Water supply:[735,747]; score:1.000000; title:Water supply; score:1.000000
	FN => water resources:[134,149]; score:1.000000; title:Water resources; score:1.000000
	FN => Prime Minister:[330,344]; score:1.000000; title:Prime minister; score:1.000000
	FN => illegal immigration:[1469,1488]; score:1.000000; title:Illegal immigration; score:1.000000
	FN => drug trafficking:[1496,1512]; score:1.000000; title:Illegal drug trade; score:1.000000
 => Jose Maria Aznar:[610,626]; score:1.000000; title:José María Aznar; score:1.000000

************************ System Result: ***************************
	FP => Iberian:[712,719]; score:1.000000; title:Iberians; score:0.444444
 => European Union:[1232,1246]; score:1.000000; title:European_Union; score:1.000000
	FP => Portugal:[3,11]; score:1.000000; title:Flag_of_Portugal; score:1.000000
	FP => Portugal:[66,74]; score:1.000000; title:Flag_of_Portugal; score:1.000000
	FP => Spanish:[593,600]; score:1.000000; title:Spanish_language; score:0.729167
 => Spain:[82,87]; score:1.000000; title:Spain; score:1.000000
 => Antonio Guterres:[348,364]; score:1.000000; title:António_Guterres; score:1.000000
	FP => Spain:[16,21]; score:1.000000; title:Spain; score:1.000000
 => Lisbon:[454,460]; score:1.000000; title:Lisbon; score:1.000000
	FP => Portugal:[1015,1023]; score:1.000000; title:Flag_of_Portugal; score:1.000000
	FP => European:[767,775]; score:1.000000; title:European_Union; score:1.000000
	FP => Spanish:[907,914]; score:1.000000; title:Spanish_language; score:0.729167
	FP => Albufeira:[1359,1368]; score:1.000000; title:Albufeira_(parish); score:1.000000
	FP => Portugal:[318,326]; score:1.000000; title:Flag_of_Portugal; score:1.000000
	FP => Iberian:[160,167]; score:1.000000; title:Iberians; score:0.444444
	FP => Albufeira:[400,409]; score:1.000000; title:Albufeira_(parish); score:1.000000
 => Jose Maria Aznar:[610,626]; score:1.000000; title:José_María_Aznar; score:0.996250
P/R/F:0.29411766/0.35714287/0.32258067; tpCount:5.0; fpCount:12.0; fnCount:9.0
[APW20000303_0067.htm]
***************** Gold Standard: ***********************
	FN => Northeast:[583,592]; score:1.000000; title:Northeastern United States; score:1.000000
	FN => Alice:[1492,1497]; score:1.000000; title:Alice, Texas; score:1.000000
 => Georgia:[117,124]; score:1.000000; title:Georgia (U.S. state); score:1.000000
	FN => temperature:[1365,1376]; score:1.000000; title:Temperature; score:1.000000
 => Rockies:[898,905]; score:1.000000; title:Rocky Mountains; score:1.000000
	FN => Plains:[938,944]; score:1.000000; title:Great Plains; score:1.000000
	FN => Lightning:[215,224]; score:1.000000; title:Lightning; score:1.000000
 => Washington:[1035,1045]; score:1.000000; title:Washington; score:1.000000
	FN => freezing:[827,835]; score:1.000000; title:Freezing; score:1.000000
	FN => Northwest:[1214,1223]; score:1.000000; title:Pacific Northwest; score:1.000000
 => mid-Atlantic states:[1228,1247]; score:1.000000; title:Mid-Atlantic States; score:1.000000
 => Oklahoma:[411,419]; score:1.000000; title:Oklahoma; score:1.000000
	FN => Rain:[159,163]; score:1.000000; title:Rain; score:1.000000
	FN => Califorainia:[995,1007]; score:1.000000; title:California; score:1.000000
 => Tennessee:[145,154]; score:1.000000; title:Tennessee; score:1.000000
 => Oregon:[1053,1059]; score:1.000000; title:Oregon; score:1.000000
 => Pennsylvania:[728,740]; score:1.000000; title:Pennsylvania; score:1.000000
	FN => the West:[885,893]; score:1.000000; title:Western United States; score:1.000000
	FN => Adirondack:[649,659]; score:1.000000; title:Adirondack Mountains; score:1.000000
 => Louisiana:[101,110]; score:1.000000; title:Louisiana; score:1.000000
	FN => wind-chill:[793,803]; score:1.000000; title:Wind Chill; score:1.000000
	FN => Southeast:[910,919]; score:1.000000; title:Southeastern United States; score:1.000000
 => Dallas-Fort Worth International Airport:[498,537]; score:1.000000; title:Dallas-Fort Worth International Airport; score:1.000000
 => Maine:[749,754]; score:1.000000; title:Maine; score:1.000000
 => Gulf Coast:[81,91]; score:1.000000; title:Gulf Coast of the United States; score:1.000000
	FN => wind:[244,248]; score:1.000000; title:Wind; score:1.000000
	FN => Severe thunderstorms:[27,47]; score:1.000000; title:Thunderstorm; score:1.000000
 => Midwest:[1152,1159]; score:1.000000; title:Midwestern United States; score:1.000000
	FN => the Carolinas:[183,196]; score:1.000000; title:the Carolinas; score:1.000000
	FN => hail:[235,239]; score:1.000000; title:Hail; score:1.000000
 => Ohio Valley:[345,356]; score:1.000000; title:Ohio River; score:1.000000
 => Cotulla:[1477,1484]; score:1.000000; title:Cotulla, Texas; score:1.000000
	FN => Grand Marais, Minn:[1525,1543]; score:1.000000; title:Grand Marais, Minnesota; score:1.000000
 => Green Mountains:[667,682]; score:1.000000; title:Green Mountains; score:1.000000
 => Great Lakes:[1164,1175]; score:1.000000; title:Great Lakes; score:1.000000

************************ System Result: ***************************
	FP => West:[889,893]; score:1.000000; title:Western_world; score:0.151911
	FP => Nation:[7,13]; score:1.000000; title:Nation; score:0.526473
	FP => Southeast:[1305,1314]; score:1.000000; title:Southeast_Asia; score:1.000000
 => Georgia:[117,124]; score:1.000000; title:Georgia_(U.S._state); score:0.374086
	FP => Plains:[1265,1271]; score:1.000000; title:Plain; score:0.665122
	FP => Northeast:[583,592]; score:1.000000; title:North_East_MRT_Line; score:0.600000
	FP => Plains:[938,944]; score:1.000000; title:Plain; score:0.665122
	FP => Grand Marais:[1525,1537]; score:1.000000; title:Grand_Marais,_Michigan; score:0.334539
	FP => Northwest:[1214,1223]; score:1.000000; title:North-Western_Territory; score:0.714286
 => Washington:[1035,1045]; score:1.000000; title:Washington; score:0.270749
	FP => Rockies:[1193,1200]; score:1.000000; title:Rockies; score:0.680000
	FP => Southeast:[910,919]; score:1.000000; title:Southeast_Asia; score:1.000000
	FP => United States:[1407,1420]; score:1.000000; title:United_States; score:1.000000
 => Rockies:[898,905]; score:1.000000; title:Rockies; score:0.680000
	FP => Plains:[1341,1347]; score:1.000000; title:Plain; score:0.665122
	FP => Texas:[1455,1460]; score:1.000000; title:Texas; score:1.000000
 => Oklahoma:[411,419]; score:1.000000; title:Oklahoma; score:0.953488
	FP => Southwest:[1316,1325]; score:1.000000; title:Southwestern_College_(Arizona); score:1.000000
 => Tennessee:[145,154]; score:1.000000; title:Tennessee; score:0.971429
 => Oregon:[1053,1059]; score:1.000000; title:Oregon; score:0.717095
 => Pennsylvania:[728,740]; score:1.000000; title:Pennsylvania; score:1.000000
 => Louisiana:[101,110]; score:1.000000; title:Louisiana; score:1.000000
 => Dallas-Fort Worth International Airport:[498,537]; score:1.000000; title:Dallas-Fort_Worth_International_Airport; score:1.000000
 => Maine:[749,754]; score:1.000000; title:Maine; score:0.716553
 => Gulf Coast:[81,91]; score:1.000000; title:Gulf_Coast_of_the_United_States; score:1.000000
	FP => Carolinas:[187,196]; score:1.000000; title:Cockatiel; score:1.000000
	FP => Texas:[400,405]; score:1.000000; title:Texas; score:1.000000
 => Midwest:[1152,1159]; score:1.000000; title:Midwestern_United_States; score:0.966667
	FP => Alice:[1492,1497]; score:1.000000; title:Alice_(album); score:0.111463
	FP => New England:[1112,1123]; score:1.000000; title:New_England; score:0.840749
	FP => Adirondack:[649,659]; score:1.000000; title:USS_Adirondack_(1861); score:1.000000
 => Ohio Valley:[345,356]; score:1.000000; title:Ohio_River; score:0.777778
 => mid-Atlantic:[1228,1240]; score:1.000000; title:Mid-Atlantic_States; score:0.875000
 => Cotulla:[1477,1484]; score:1.000000; title:Cotulla,_Texas; score:1.000000
 => Green Mountains:[667,682]; score:1.000000; title:Green_Mountains; score:1.000000
	FP => Northeast:[1140,1149]; score:1.000000; title:North_East_MRT_Line; score:0.600000
 => Great Lakes:[1164,1175]; score:1.000000; title:Great_Lakes; score:1.000000
P/R/F:0.45945945/0.4857143/0.4722222; tpCount:17.0; fpCount:20.0; fnCount:18.0
[APW19980930_0284.htm]
***************** Gold Standard: ***********************
	FN => heist:[187,192]; score:1.000000; title:Robbery; score:1.000000
 => Alfred Sisley:[630,643]; score:1.000000; title:Alfred Sisley; score:1.000000
 => Riviera:[736,743]; score:1.000000; title:French Riviera; score:1.000000
	FN => Nice:[449,453]; score:1.000000; title:Nice; score:1.000000
 => Monet:[400,405]; score:1.000000; title:Claude Monet; score:1.000000
 => Saint Laurent du Var:[755,775]; score:1.000000; title:Saint-Laurent-du-Var; score:1.000000
	FN => Impressionist:[103,116]; score:1.000000; title:Impressionism; score:1.000000
	FN => curator:[39,46]; score:1.000000; title:Curator; score:1.000000

************************ System Result: ***************************
	FP => Sisley:[414,420]; score:1.000000; title:Alfred_Sisley; score:1.000000
 => Alfred Sisley:[630,643]; score:1.000000; title:Alfred_Sisley; score:1.000000
 => Riviera:[736,743]; score:1.000000; title:French_Riviera; score:1.000000
 => Monet:[400,405]; score:1.000000; title:Claude_Monet; score:1.000000
 => Saint Laurent du Var:[755,775]; score:1.000000; title:Saint-Laurent-du-Var; score:1.000000
	FP => Claude Monet:[572,584]; score:1.000000; title:Claude_Monet; score:1.000000
P/R/F:0.6666667/0.5/0.57142854; tpCount:4.0; fpCount:2.0; fnCount:4.0
[APW19980930_0522.htm]
***************** Gold Standard: ***********************
	FN => delegation:[284,294]; score:1.000000; title:Delegation; score:1.000000
	FN => Kermanshah province:[381,400]; score:1.000000; title:Kermanshah province; score:1.000000
 => Iraq:[61,65]; score:1.000000; title:Iraq; score:1.000000
	FN => Iranian:[172,179]; score:1.000000; title:Iran; score:1.000000
 => Taha Yassin Ramadan:[1359,1378]; score:1.000000; title:Taha Yassin Ramadan; score:1.000000
 => 1991 Gulf War:[1441,1454]; score:1.000000; title:Gulf War; score:1.000000
	FN => commercial:[559,569]; score:1.000000; title:Commerce; score:1.000000
	FN => Mohammad Shariat-Madari:[514,537]; score:1.000000; title:Mohammad Kazem Shariatmadari; score:1.000000
 => Baghdad:[1158,1165]; score:1.000000; title:Baghdad; score:1.000000
	FN => Tehran:[712,718]; score:1.000000; title:Tehran; score:1.000000
 => Organization of the Islamic Conference:[1479,1517]; score:1.000000; title:Organization of the Islamic Conference; score:1.000000
	FN => trade fair:[45,55]; score:1.000000; title:Trade fair; score:1.000000
	FN => prisoners of war:[976,992]; score:1.000000; title:Prisoner of war; score:1.000000
	FN => acts of sabotage:[1301,1317]; score:1.000000; title:Sabotage; score:1.000000
 => U.N.:[909,913]; score:1.000000; title:United Nations; score:1.000000
	FN => eight-year war:[872,886]; score:1.000000; title:Iran-Iraq War; score:1.000000

************************ System Result: ***************************
	FP => Islamic Republic News Agency:[199,227]; score:1.000000; title:Islamic_Republic_News_Agency; score:1.000000
	FP => Iraqi:[1408,1413]; score:1.000000; title:Iraqi_Arabic; score:1.000000
	FP => Iraqi:[3,8]; score:1.000000; title:Iraqi_Arabic; score:1.000000
 => Iraq:[61,65]; score:1.000000; title:Iraq; score:0.988987
	FP => Iran:[940,944]; score:1.000000; title:Iran; score:1.000000
	FP => Iraqi:[1337,1342]; score:1.000000; title:Iraqi_Arabic; score:1.000000
 => Organization of the Islamic Conference:[1479,1517]; score:1.000000; title:Organisation_of_the_Islamic_Conference; score:1.000000
	FP => Iran:[491,495]; score:1.000000; title:Iran; score:1.000000
	FP => Tehran:[1423,1429]; score:1.000000; title:Tehran; score:1.000000
	FP => Iran:[1011,1015]; score:1.000000; title:Iran; score:1.000000
 => Baghdad:[1158,1165]; score:1.000000; title:Baghdad; score:1.000000
	FP => Kermanshah:[381,391]; score:1.000000; title:Kermanshah; score:1.000000
	FP => Iraq:[856,860]; score:1.000000; title:Iraq; score:0.988987
 => U.N.:[909,913]; score:1.000000; title:United_Nations; score:0.892515
	FP => Iranian:[172,179]; score:1.000000; title:Iranian_peoples; score:1.000000
	FP => Tehran:[1142,1148]; score:1.000000; title:Tehran; score:1.000000
 => Gulf War:[1446,1454]; score:1.000000; title:Gulf_War; score:1.000000
	FP => Saleh:[448,453]; score:1.000000; title:Saleh; score:0.909091
	FP => Iran:[331,335]; score:1.000000; title:Iran; score:1.000000
	FP => Iranian:[1179,1186]; score:1.000000; title:Iranian_peoples; score:1.000000
 => Taha Yassin Ramadan:[1359,1378]; score:1.000000; title:Taha_Yassin_Ramadan; score:1.000000
	FP => Iraq:[1001,1005]; score:1.000000; title:Iraq; score:0.988987
	FP => Iran:[847,851]; score:1.000000; title:Iran; score:1.000000
	FP => Iran:[29,33]; score:1.000000; title:Iran; score:1.000000
	FP => Iraq:[689,693]; score:1.000000; title:Iraq; score:0.988987
	FP => Iraq:[952,956]; score:1.000000; title:Iraq; score:0.988987
P/R/F:0.23076923/0.375/0.2857143; tpCount:6.0; fpCount:20.0; fnCount:10.0
[APW19980816_0994.htm]
***************** Gold Standard: ***********************
	FN => Auckland:[633,641]; score:1.000000; title:Auckland; score:1.000000
 => Auckland Art Gallery:[130,150]; score:1.000000; title:Auckland Art Gallery; score:1.000000
 => New Zealand:[23,34]; score:1.000000; title:New Zealand; score:1.000000
	FN => shotgun:[595,602]; score:1.000000; title:Shotgun; score:1.000000
 => Albert Park:[1354,1365]; score:1.000000; title:Albert Park, Auckland; score:1.000000
	FN => Jacques-Joseph (James) Tissot:[360,389]; score:1.000000; title:James Tissot; score:1.000000
	FN => crowbar:[799,806]; score:1.000000; title:Crowbar (tool); score:1.000000
	FN => firearm:[893,900]; score:1.000000; title:firearm; score:1.000000

************************ System Result: ***************************
 => Auckland Art Gallery:[130,150]; score:1.000000; title:Auckland_Art_Gallery; score:1.000000
 => New Zealand:[23,34]; score:1.000000; title:New_Zealand; score:0.857143
	FP => New Zealand:[400,411]; score:1.000000; title:New_Zealand; score:0.857143
 => Albert Park:[1354,1365]; score:1.000000; title:Albert_Park,_Auckland; score:1.000000
	FP => Jacques-Joseph:[360,374]; score:1.000000; title:Jacques_Joseph_Champollion-Figeac; score:1.000000
	FP => U.S.:[97,101]; score:1.000000; title:United_States; score:0.803799
	FP => European:[441,449]; score:1.000000; title:European_Union; score:1.000000
	FP => French-born:[340,351]; score:1.000000; title:France; score:0.933962
	FP => U.S.:[534,538]; score:1.000000; title:United_States; score:0.803799
P/R/F:0.33333334/0.375/0.35294116; tpCount:3.0; fpCount:6.0; fnCount:5.0
[APW19981109_0140.htm]
***************** Gold Standard: ***********************
	FN => East:[1267,1271]; score:1.000000; title:Eastern world; score:1.000000
	FN => ambassador:[568,578]; score:1.000000; title:Ambassador; score:1.000000
	FN => Communist:[1254,1263]; score:1.000000; title:Communism; score:1.000000
 => Farsi:[957,962]; score:1.000000; title:Persian language; score:1.000000
 => Prague:[587,593]; score:1.000000; title:Prague; score:1.000000
	FN => Radio Free Europe:[180,197]; score:1.000000; title:Radio Free Europe; score:1.000000
 => Cold War:[1214,1222]; score:1.000000; title:Cold War; score:1.000000
 => the Netherlands:[515,530]; score:1.000000; title:Netherlands; score:1.000000
 => Kamal Kharrazi:[264,278]; score:1.000000; title:Kamal Kharazi; score:1.000000
 => ICJ:[505,508]; score:1.000000; title:International Court of Justice; score:1.000000
	FN => political:[716,725]; score:1.000000; title:Politics; score:1.000000
	FN => Munich, Germany:[1084,1099]; score:1.000000; title:Munich; score:1.000000
 => Soviet:[1145,1151]; score:1.000000; title:Soviet Union; score:1.000000
	FN => the Hague:[121,130]; score:1.000000; title:the Hague; score:1.000000
 => Iron Curtain:[1187,1199]; score:1.000000; title:Iron Curtain; score:1.000000
	FN => Czech:[612,617]; score:1.000000; title:Czech Republic; score:1.000000
 => West:[1238,1242]; score:1.000000; title:Western world; score:1.000000
	FN => censored:[1125,1133]; score:1.000000; title:Censorship; score:1.000000
 => Iraq:[822,826]; score:1.000000; title:Iraq; score:1.000000
	FN => economic:[700,708]; score:1.000000; title:Economy; score:1.000000

************************ System Result: ***************************
	FP => Iran:[549,553]; score:1.000000; title:Iran; score:1.000000
	FP => Hague:[44,49]; score:1.000000; title:International_Court_of_Justice; score:1.000000
	FP => Prague:[745,751]; score:1.000000; title:Prague; score:1.000000
 => Netherlands:[519,530]; score:1.000000; title:Netherlands; score:0.625727
	FP => Iran:[934,938]; score:1.000000; title:Iran; score:1.000000
 => Farsi:[957,962]; score:1.000000; title:Persian_language; score:0.888889
 => Cold War:[1214,1222]; score:1.000000; title:Cold_War; score:1.000000
	FP => Hague:[125,130]; score:1.000000; title:International_Court_of_Justice; score:1.000000
 => ICJ:[505,508]; score:1.000000; title:International_Court_of_Justice; score:0.978313
	FP => Czech:[612,617]; score:1.000000; title:Czech_language; score:0.332908
	FP => Iran:[61,65]; score:1.000000; title:Iran; score:1.000000
 => Iron Curtain:[1187,1199]; score:1.000000; title:Iron_Curtain; score:1.000000
	FP => Radio Free Europe:[1041,1058]; score:1.000000; title:Radio_Free_Europe/Radio_Liberty; score:1.000000
	FP => Germany:[1092,1099]; score:1.000000; title:Germany; score:0.731908
	FP => Iran:[3,7]; score:1.000000; title:Iran; score:1.000000
	FP => Czech:[1010,1015]; score:1.000000; title:Czech_language; score:0.332908
	FP => Iran Daily:[205,215]; score:1.000000; title:List_of_newspapers_in_Iran; score:0.222222
	FP => Iran:[329,333]; score:1.000000; title:Iran; score:1.000000
 => Prague:[587,593]; score:1.000000; title:Prague; score:1.000000
	FP => International Court of Justice:[86,116]; score:1.000000; title:International_Court_of_Justice; score:1.000000
	FP => American-sponsored:[760,778]; score:1.000000; title:United_States; score:1.000000
 => Kamal Kharrazi:[264,278]; score:1.000000; title:Kamal_Kharazi; score:1.000000
	FP => Iraq:[943,947]; score:1.000000; title:Iraq; score:0.988987
 => Soviet:[1145,1151]; score:1.000000; title:Soviet_Union; score:0.875000
	FP => Prague:[1306,1312]; score:1.000000; title:Prague; score:1.000000
	FP => English-language:[413,429]; score:1.000000; title:english-language; score:1.000000
	FP => Iran:[473,477]; score:1.000000; title:Iran; score:1.000000
	FP => Iran:[985,989]; score:1.000000; title:Iran; score:1.000000
 => West:[1238,1242]; score:1.000000; title:Western_world; score:0.151911
 => Iraq:[822,826]; score:1.000000; title:Iraq; score:0.988987
P/R/F:0.33333334/0.5/0.4; tpCount:10.0; fpCount:20.0; fnCount:10.0
[APW19981106_0920.htm]
***************** Gold Standard: ***********************
	FN => natural gas:[809,820]; score:1.000000; title:natural gas; score:1.000000
	FN => nitrogen:[1355,1363]; score:1.000000; title:nitrogen; score:1.000000
 => Oslo:[1490,1494]; score:1.000000; title:Oslo; score:1.000000
	FN => electricity:[185,196]; score:1.000000; title:electricity; score:1.000000
 => Norwegian Water Resources and Energy Directorate:[303,351]; score:1.000000; title:Norwegian Water Resources and Energy Directorate; score:1.000000
	FN => carbon dioxide:[965,979]; score:1.000000; title:carbon dioxide; score:1.000000
 => Norway:[1053,1059]; score:1.000000; title:Norway; score:1.000000
	FN => emissions:[235,244]; score:1.000000; title:Air pollution; score:1.000000
	FN => hydrogen:[124,132]; score:1.000000; title:hydrogen; score:1.000000
	FN => hydroelectric plants:[1237,1257]; score:1.000000; title:Hydroelectricity; score:1.000000
 => Norsk Hydro ASA:[63,78]; score:1.000000; title:Norsk Hydro; score:1.000000
	FN => petroleum:[849,858]; score:1.000000; title:petroleum; score:1.000000
	FN => state-owned company:[267,286]; score:1.000000; title:Government-owned corporation; score:1.000000
	FN => power plant:[144,155]; score:1.000000; title:Power station; score:1.000000

************************ System Result: ***************************
 => Oslo:[1490,1494]; score:1.000000; title:Oslo; score:0.897355
 => Norwegian Water Resources and Energy Directorate:[303,351]; score:1.000000; title:Norwegian_Water_Resources_and_Energy_Directorate; score:1.000000
	FP => Norsk Hydro:[1389,1400]; score:1.000000; title:Norsk_Hydro; score:0.995251
	FP => Norsk Hydro:[827,838]; score:1.000000; title:Norsk_Hydro; score:0.995251
 => Norway:[1053,1059]; score:1.000000; title:Norway; score:0.763158
 => Norsk Hydro ASA:[63,78]; score:1.000000; title:Norsk_Hydro; score:1.000000
	FP => Karmoey:[1429,1436]; score:1.000000; title:Karmøy; score:1.000000
	FP => Norwegian:[3,12]; score:1.000000; title:Norwegian_language; score:0.677419
P/R/F:0.5/0.2857143/0.36363637; tpCount:4.0; fpCount:4.0; fnCount:10.0
[APW19980603_0791.htm]
***************** Gold Standard: ***********************
	FN => cancerous:[506,515]; score:1.000000; title:Cancer; score:1.000000
	FN => conscious:[972,981]; score:1.000000; title:Consciousness; score:1.000000
	FN => radiation:[655,664]; score:1.000000; title:Radiation; score:1.000000
	FN => Malformation:[1096,1108]; score:1.000000; title:Congenital disorder; score:1.000000
 => Stereotaxic Surgery:[592,611]; score:1.000000; title:Stereotactic surgery; score:1.000000
	FN => capillaries:[1147,1158]; score:1.000000; title:Capillary; score:1.000000
	FN => Bangkok:[251,258]; score:1.000000; title:Bangkok; score:1.000000
	FN => Radio Surgery:[297,310]; score:1.000000; title:Radiosurgery; score:1.000000
 => Linear Accelerator:[691,709]; score:1.000000; title:Linear particle accelerator; score:1.000000
	FN => tissues:[529,536]; score:1.000000; title:Tissue (biology); score:1.000000
	FN => clotting:[1117,1125]; score:1.000000; title:Coagulation; score:1.000000
	FN => breast cancer:[118,131]; score:1.000000; title:breast cancer; score:1.000000
	FN => brain tumours:[87,100]; score:1.000000; title:Brain tumor; score:1.000000
	FN => haemorrhage:[145,156]; score:1.000000; title:Bleeding; score:1.000000
 => Thailand:[327,335]; score:1.000000; title:Thailand; score:1.000000
	FN => three dimensional:[555,572]; score:1.000000; title:Three-dimensional space; score:1.000000

************************ System Result: ***************************
	FP => THAILAND:[3,11]; score:1.000000; title:Thailand; score:0.976744
 => Linear Accelerator:[691,709]; score:1.000000; title:Linear_particle_accelerator; score:1.000000
 => Stereotaxic Surgery:[592,611]; score:1.000000; title:Stereotactic_surgery; score:1.000000
 => Thailand:[327,335]; score:1.000000; title:Thailand; score:0.976744
	FP => Bangkok:[251,258]; score:1.000000; title:ASEAN_Declaration; score:1.000000
P/R/F:0.6/0.1875/0.2857143; tpCount:3.0; fpCount:2.0; fnCount:13.0
[APW19990827_0137.htm]
***************** Gold Standard: ***********************
	FN => e-mail:[187,193]; score:1.000000; title:E-mail; score:1.000000
	FN => pornographic:[147,159]; score:1.000000; title:Pornography; score:1.000000
 => The Charlotte Observer:[528,550]; score:1.000000; title:The Charlotte Observer; score:1.000000
	FN => home-equity:[892,903]; score:1.000000; title:Home equity; score:1.000000
	FN => hostile environment:[485,504]; score:1.000000; title:Hostile environment sexual harassment; score:1.000000
	FN => legal claims:[1226,1238]; score:1.000000; title:Claim (legal); score:1.000000
	FN => First Union:[59,70]; score:1.000000; title:Wachovia; score:1.000000
	FN => sexual harassment:[1324,1341]; score:1.000000; title:sexual harassment; score:1.000000
	FN => Fortune 100:[1043,1054]; score:1.000000; title:Fortune 500; score:1.000000
	FN => server:[819,825]; score:1.000000; title:Server (computing); score:1.000000

************************ System Result: ***************************
	FP => First Union:[203,214]; score:1.000000; title:First_Union_Corporation; score:0.959916
	FP => University Research Park:[591,615]; score:1.000000; title:University_City,_North_Carolina; score:0.945946
	FP => First Union:[1027,1038]; score:1.000000; title:First_Union_Corporation; score:0.959916
 => Charlotte Observer:[532,550]; score:1.000000; title:The_Charlotte_Observer; score:1.000000
	FP => AP:[51,53]; score:1.000000; title:Associated_Press; score:0.380451
	FP => Deem:[510,514]; score:1.000000; title:Dies_Irae; score:1.000000
P/R/F:0.16666667/0.1/0.125; tpCount:1.0; fpCount:5.0; fnCount:9.0
[APW19981109_1089.htm]
***************** Gold Standard: ***********************
	FN => David Richardson:[1112,1128]; score:1.000000; title:David John Richardson; score:1.000000
 => Johannesburg:[1172,1184]; score:1.000000; title:Johannesburg; score:1.000000
	FN => sports marketing:[1144,1160]; score:1.000000; title:Sports marketing; score:1.000000
	FN => South African cricket:[734,755]; score:1.000000; title:South Africa national cricket team; score:1.000000
 => Brian Lara:[292,302]; score:1.000000; title:Brian Lara; score:1.000000
 => West Indies Cricket Board:[678,703]; score:1.000000; title:West Indies Cricket Board; score:1.000000
 => Jimmy Adams:[545,556]; score:1.000000; title:Jimmy Adams; score:1.000000
	FN => cricket:[167,174]; score:1.000000; title:cricket; score:1.000000
	FN => batsman:[281,288]; score:1.000000; title:batsman; score:1.000000
 => Ali Bacher:[711,721]; score:1.000000; title:Ali Bacher; score:1.000000
 => Carl Hooper:[321,332]; score:1.000000; title:Carl Hooper; score:1.000000
	FN => wicketkeeper:[1096,1108]; score:1.000000; title:Wicket-keeper; score:1.000000
 => West Indies:[91,102]; score:1.000000; title:Caribbean; score:1.000000
